id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11621055,Warm welcome for Family & Friends.,42221103,Michael & Trisha,,Dublin City,53.30793,-6.28575,Entire home/apt,100,2,8,2016-09-06,0.23,1,0
11637826,Bed in a shared room,10735720,William,,Dublin City,53.36168,-6.25785,Shared room,23,2,77,2019-01-21,2.18,4,50
11642773,"Ballsbridge: City, Aircoach, Aviva, RDS all close.",23808113,Miriam,,Dublin City,53.33034,-6.23587,Private room,130,2,20,2018-10-01,0.61,1,174
11647025,"Double Room + Private Bathroom, AMAZING TERRACE!",60731721,Roberto And Marta,,Dublin City,53.35087,-6.26319,Private room,95,2,96,2018-12-17,2.74,2,48
11651014,Room available in the city centre,48701185,Raul,,Dublin City,53.35012,-6.26001,Private room,55,1,16,2019-01-27,0.45,2,8
11651390,Clonsilla Dublin 15,7069462,Micheal,,Fingal,53.38392,-6.41278,Entire home/apt,500,3,2,2018-11-04,0.39,10,208
11653856,"Riverside city apartment, private double room",16257281,Andrés & Valentina,,Dublin City,53.34634,-6.3093,Private room,65,2,14,2017-09-17,0.41,1,0
11653894,Right next to the Guinness Brewery,61823992,Melissa,,Dublin City,53.34537,-6.28382,Entire home/apt,100,1,224,2019-02-10,6.51,1,79
11654784,Central Dublin 8 apartment,57927960,Kate,,Dublin City,53.34351,-6.28263,Entire home/apt,120,3,21,2017-01-02,0.67,1,0
11656742,Bright airy studio apartment,18801526,Carmel,,Dublin City,53.34209,-6.23535,Entire home/apt,115,3,113,2019-01-25,3.18,2,16
11663329,"Spacious Apartment, Prime location!",27774984,Laura,,Dublin City,53.32396,-6.22976,Entire home/apt,143,1,1,2016-03-20,0.03,1,0
11663653,Luxurious one bedroomed apartment,61912110,Adrian,,Dublin City,53.33328,-6.23822,Entire home/apt,85,2,3,2016-06-27,0.09,1,0
11672258,Perfect city centre location spacious & modern Apt,29908291,Stephen,,Dublin City,53.34741,-6.28293,Entire home/apt,79,1,204,2019-01-27,5.76,1,24
11673606,Double room near Dublin bay,61986060,Himshikha,,Dn Laoghaire-Rathdown,53.29695,-6.18534,Private room,35,1,1,2016-03-23,0.03,1,0
11685691,Stone Haven  Airbnb by the Sea,42821372,Gwen,,Fingal,53.51767,-6.09671,Private room,60,1,22,2018-09-30,0.95,2,345
11691914,Deluxe Queen Bedroom NEW MANAGEMENT,62121259,Josnel,,Dublin City,53.35099,-6.34414,Private room,50,1,39,2017-01-22,1.11,7,0
11692251,Stylish large 2 BDRM with balcony near Temple Bar,62124181,John,,Dublin City,53.34401,-6.27697,Entire home/apt,108,3,140,2018-12-31,3.96,4,56
11693835,Stunning 2 Bed Luxury Apartment,31269510,Carly,,Dublin City,53.32636,-6.246,Entire home/apt,350,1,0,,,1,0
